Parameter,R2,MAE,RMSE,Error_%
PM25,0.9451237451645405,2.9069481821728216,4.863278238676251,9.64120541516148
CO,0.9485098265214836,1.445606900179039,3.1993860170690835,7.175264755695025
NO2,0.9785019136535978,0.08265863402609545,0.15195150562614076,5.5339658950947515
SO2,0.9857072129970029,0.08996286497513709,0.20623831953113794,9.829466440861594
