Parameter,R2,MAE,RMSE,Error_%
PM25,0.9315374355075792,3.1208573311729335,5.436656502869182,9.992766426533228
CO,0.9074842998697442,1.6057745700669936,4.288580864401784,7.39555674401195
NO2,0.9728051575301601,0.09774331675804325,0.17090248592851037,6.651091718775677
SO2,0.981225540244246,0.09326458838029666,0.23637123529273882,10.056609888450902
